Date,Precipitation,Temperature,Humidity,Wend Speed,Sunshine Hours
2015-07-01,33.5,22.7,85,1.7,0
2015-07-02,0,25.2,67,2.2,4.6
2015-07-03,1,25.4,67,1.6,3.2
2015-07-04,12.5,22.7,80,1.6,0
2015-07-05,0,22.8,72,1.5,0.3
2015-07-06,1,22.7,75,1.5,0
2015-07-07,13,22.7,84,1.5,0
2015-07-08,2.5,24.9,80,1.9,0
2015-07-09,2.5,26.4,80,1.4,0.5
2015-07-10,0,28.4,68,2.2,6.8
2015-07-11,0,28.6,69,1.9,2.3
2015-07-12,0,29.4,64,2.1,6
2015-07-13,0,30.6,60,4,5.3
2015-07-14,0,30.8,56,2.8,12.7
2015-07-15,0,29.8,59,3.6,9.5
2015-07-16,9.5,27.4,73,5.7,1.2
2015-07-17,183.5,25.2,85,4.5,0
2015-07-18,78,25,81,1.8,2.9
2015-07-19,1,27.7,72,2.1,1.8
2015-07-20,0,29.5,60,2.5,10
2015-07-21,0,29,61,2.5,6.2
2015-07-22,37.5,26,83,2.2,0
2015-07-23,26.5,25.2,85,2.1,0.2
2015-07-24,0,28.4,65,2,7.2
2015-07-25,0,29.2,62,2.5,11.2
2015-07-26,0,30.5,57,2.7,12.4
2015-07-27,0,29.7,65,2.4,3.5
2015-07-28,7,28,76,1.7,2.2
2015-07-29,7,29.1,73,1.7,5.2
2015-07-30,0.5,29.7,71,1.8,4.5
2015-07-31,0,30.7,65,1.9,9
