Date,Precipitation,Temperature,Humidity,Wend Speed,Sunshine Hours
2015-07-01,13.5,20.5,98,2.1,0
2015-07-02,2.5,22.5,91,1.9,0.2
2015-07-03,67.5,21.9,99,2,0
2015-07-04,4,22.5,96,1.8,0
2015-07-05,20,20.1,96,1.8,0
2015-07-06,14.5,19.8,97,1.7,0
2015-07-07,0,21.3,91,1.5,0
2015-07-08,11,22.4,93,1.7,0.2
2015-07-09,11,19.4,97,2,0
2015-07-10,0.5,23.2,80,2.1,9.1
2015-07-11,0,25.9,76,2.8,11.5
2015-07-12,0,27.2,74,2.7,12.6
2015-07-13,0,29.4,67,5,11.5
2015-07-14,0,29.9,61,6.8,13.3
2015-07-15,0,28.4,65,4.7,13
2015-07-16,63.5,26.4,90,4.8,0.2
2015-07-17,14.5,26.7,83,5.3,1.1
2015-07-18,0.5,27.2,77,5.5,2.7
2015-07-19,0,29.4,69,3.3,8.3
2015-07-20,0,28.8,75,2.4,6.7
2015-07-21,0,29.4,65,3.8,13.2
2015-07-22,0,28.9,61,6.4,13.4
2015-07-23,4.5,27,80,4.5,2.7
2015-07-24,7,28.1,83,2,5.2
2015-07-25,0,28.6,80,2.2,8.4
2015-07-26,0,30.3,72,2.4,12.4
2015-07-27,0,30.4,69,2.7,12.9
2015-07-28,0,29.6,72,2.4,6.4
2015-07-29,0,29.4,70,2.6,3.2
2015-07-30,0,29.1,75,2.2,3.6
2015-07-31,0,30,72,2.7,10
